         5315333 function calls (5109638 primitive calls) in 8.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2151    0.008    0.000    0.010    0.000 pxla.py:2938(reflatten_outputs_for_dispatch)
     2200    0.008    0.000    0.017    0.000 core.py:1213(new_main)
     6015    0.008    0.000    0.023    0.000 partial_eval.py:124(unknown)
     1891    0.008    0.000    0.022    0.000 functools.py:36(update_wrapper)
    31079    0.008    0.000    0.008    0.000 partial_eval.py:131(get_known)
       43    0.008    0.000    0.019    0.000 pxla.py:1269(__call__)
     1222    0.008    0.000    0.023    0.000 <frozen importlib._bootstrap>:304(acquire)
      427    0.008    0.000    0.022    0.000 inspect.py:2369(_signature_from_function)
     3142    0.007    0.000    0.014    0.000 linear_util.py:249(transformation_with_aux)
    35760    0.007    0.000    0.007    0.000 core.py:204(<lambda>)
      321    0.007    0.000    0.018    0.000 pjit.py:349(_cpp_pjit)
     20/0    0.007    0.000    0.000          _stablehlo_ops_gen.py:79(add)
    14262    0.007    0.000    0.032    0.000 <frozen abc>:117(__instancecheck__)
    499/0    0.007    0.000    0.000          api.py:1956(_vjp)
     1185    0.007    0.000    0.031    0.000 tree_util.py:336(tree_map)
     9500    0.007    0.000    0.294    0.000 ad.py:453(aval)
     4000    0.007    0.000    0.010    0.000 util.py:161(subs_list)
     1996    0.007    0.000    0.011    0.000 linear_util.py:173(populate_stores)
    16882    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
    26060    0.007    0.000    0.007    0.000 partial_eval.py:128(is_known)
      543    0.007    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1518(_get_spec)
     3177    0.007    0.000    0.011    0.000 core.py:340(new_jaxpr_eqn)
     2108    0.007    0.000    0.012    0.000 pjit.py:298(_read_most_recent_pjit_call_executable)
8203/8155    0.007    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
      500    0.007    0.000    0.013    0.000 api_util.py:221(argnums_partial)
     3209    0.007    0.000    0.011    0.000 source_info_util.py:125(__add__)
     4949    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     7639    0.007    0.000    0.007    0.000 {built-in method builtins.sorted}
       82    0.007    0.000    0.007    0.000 {built-in method builtins.eval}
      4/0    0.007    0.002    0.000          _stablehlo_ops_gen.py:4136(__init__)
     1008    0.007    0.000    0.015    0.000 ad.py:88(jvp_subtrace)
     2500    0.007    0.000    0.119    0.000 api_util.py:585(_shaped_abstractify_slow)
     4500    0.007    0.000    0.133    0.000 pjit.py:2307(<genexpr>)
    20274    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
3065/3047    0.006    0.000    0.010    0.000 typing.py:1773(__hash__)
        1    0.006    0.006    0.007    0.007 _type_aliases.py:1(<module>)
     2592    0.006    0.000    0.008    0.000 linear_util.py:264(wrap_init)
     5900    0.006    0.000    0.091    0.000 core.py:681(<lambda>)
      955    0.006    0.000    0.016    0.000 dtypes.py:287(_scalar_type_to_dtype)
     4356    0.006    0.000    0.009    0.000 <string>:33(__hash__)
    499/0    0.006    0.000    0.000          ufuncs.py:2109(power)
      500    0.006    0.000    0.041    0.000 lax.py:1495(full)
    503/0    0.006    0.000    0.000          partial_eval.py:673(trace_to_jaxpr_nounits)
    26000    0.006    0.000    0.006    0.000 pjit.py:2082(<genexpr>)
    499/0    0.006    0.000    0.000          ad.py:140(vjp)
    124/0    0.006    0.000    0.000          lax_numpy.py:10736(_index_to_gather)
     2869    0.006    0.000    0.044    0.000 util.py:300(check_arraylike)
     6121    0.006    0.000    0.023    0.000 core.py:362(__init__)
     6050    0.006    0.000    0.045    0.000 config.py:1142(<lambda>)
     1917    0.006    0.000    0.006    0.000 getlimits.py:692(__init__)
       49    0.006    0.000    0.013    0.000 _func_ops_gen.py:136(__init__)
     1130    0.006    0.000    0.034    0.000 core.py:819(__getattr__)
       82    0.006    0.000    0.018    0.000 __init__.py:355(namedtuple)
    499/0    0.006    0.000    0.000          api.py:1848(_vjp_pullback_wrapper)
     2000    0.006    0.000    0.016    0.000 source_info_util.py:301(transform_name_stack)
   581/13    0.006    0.000    0.962    0.074 <frozen importlib._bootstrap>:1349(_find_and_load)
     1000    0.006    0.000    0.078    0.000 api.py:490(_check_input_dtype_revderiv)
     2945    0.006    0.000    0.036    0.000 typing.py:1446(__or__)
      321    0.006    0.000    0.063    0.000 pjit.py:424(_parse_jit_arguments)
     5696    0.006    0.000    0.103    0.000 dispatch.py:288(check_arg)
     4259    0.005    0.000    0.008    0.000 weakref.py:451(get)
     5010    0.005    0.000    0.005    0.000 ad.py:177(write_cotangent)
     8112    0.005    0.000    0.005    0.000 core.py:2673(__init__)
     9075    0.005    0.000    0.008    0.000 contextlib.py:552(_push_exit_callback)
      826    0.005    0.000    0.005    0.000 partial_eval.py:1669(make_jaxpr_effects)
     9399    0.005    0.000    0.006    0.000 {built-in method builtins.sum}
       92    0.005    0.000    0.013    0.000 partial_eval.py:1846(_inline_literals)
      438    0.005    0.000    0.168    0.000 <frozen importlib._bootstrap_external>:1089(get_code)
    66/49    0.005    0.000    0.135    0.003 pjit.py:568(_infer_params_impl)
     2000    0.005    0.000    0.057    0.000 partial_eval.py:1591(move_binders_to_back)
     1001    0.005    0.000    0.055    0.000 partial_eval.py:169(new_instantiated_const)
   2664/0    0.005    0.000    0.000          lax.py:2864(_convert_element_type_bind)
     3173    0.005    0.000    0.005    0.000 core.py:265(__init__)
      876    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     8563    0.005    0.000    0.005    0.000 core.py:1039(__eq__)
     5138    0.005    0.000    0.006    0.000 linear_util.py:103(val)
    499/0    0.005    0.000    0.000          lax.py:1694(full_like)
     1222    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1005    0.005    0.000    0.013    0.000 partial_eval.py:173(new_arg)
     1000    0.005    0.000    0.008    0.000 source_info_util.py:116(transform)
       42    0.005    0.000    0.006    0.000 mlir.py:586(module_to_bytecode)
     4500    0.005    0.000    0.048    0.000 partial_eval.py:150(pure)
    24315    0.005    0.000    0.005    0.000 fromnumeric.py:2123(_shape_dispatcher)
     8246    0.005    0.000    0.033    0.000 util.py:303(<genexpr>)
     9075    0.005    0.000    0.005    0.000 contextlib.py:475(_create_exit_wrapper)
      500    0.005    0.000    0.179    0.000 ad.py:528(standard_jvp2)
     8691    0.005    0.000    0.005    0.000 {method 'setdefault' of 'dict' objects}
    500/1    0.005    0.000    0.001    0.001 ad.py:517(standard_jvp)
     1000    0.005    0.000    0.006    0.000 tree_util.py:541(__new__)
      191    0.005    0.000    0.017    0.000 mlir.py:464(_traceback_to_location)
      566    0.005    0.000    0.011    0.000 lax.py:1945(broadcasting_shape_rule)
    21814    0.004    0.000    0.004    0.000 core.py:105(outvars)
      237    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
      622    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
        1    0.004    0.004    0.007    0.007 mlir.py:1682(_emit_lowering_rule_as_fun)
     3259    0.004    0.000    0.260    0.000 {method 'send' of 'generator' objects}
    124/0    0.004    0.000    0.000          scatter.py:84(_scatter_impl)
    499/0    0.004    0.000    0.000          lax.py:2799(_convert_element_type_transpose_rule)
     3298    0.004    0.000    0.005    0.000 {built-in method builtins.delattr}
     6015    0.004    0.000    0.005    0.000 partial_eval.py:847(get_atom)
     2427    0.004    0.000    0.005    0.000 core.py:213(in_avals)
     1395    0.004    0.000    0.011    0.000 dtypes.py:769(check_user_dtype_supported)
      977    0.004    0.000    0.013    0.000 typing.py:173(_type_check)
        1    0.004    0.004    0.004    0.004 tpu.py:1(<module>)
     5012    0.004    0.000    0.009    0.000 ad.py:446(__init__)
     5804    0.004    0.000    0.136    0.000 pjit.py:760(<genexpr>)
    124/0    0.004    0.000    0.000          lax_numpy.py:2059(squeeze)
     7407    0.004    0.000    0.004    0.000 core.py:1377(_get_trace_level)
     8000    0.004    0.000    0.006    0.000 pjit.py:2121(<genexpr>)
     3173    0.004    0.000    0.004    0.000 compute_on.py:45(current_compute_type)
     2198    0.004    0.000    0.006    0.000 weakref.py:507(setdefault)
    12555    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
     2772    0.004    0.000    0.007    0.000 typing.py:1368(__setattr__)
     1163    0.004    0.000    0.068    0.000 core.py:474(abstract_eval_)
     4526    0.004    0.000    0.004    0.000 source_info_util.py:272(current_name_stack)
       42    0.004    0.000    0.007    0.000 compiler.py:111(get_compile_options)
      501    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3579    0.004    0.000    0.120    0.000 core.py:1501(valid_jaxtype)
      564    0.004    0.000    0.013    0.000 lax.py:1917(naryop_dtype_rule)
     1222    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1251    0.004    0.000    0.007    0.000 inspect.py:2722(__init__)
      502    0.004    0.000    0.010    0.000 lax.py:2028(_unbroadcast)
      876    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
       42    0.004    0.000    0.059    0.001 cache_key.py:64(get)
    251/3    0.004    0.000    0.001    0.000 lax.py:1676(expand_dims)
     1185    0.004    0.000    0.004    0.000 tree_util.py:88(tree_leaves)
    124/0    0.004    0.000    0.000          lax_numpy.py:9854(roll)
     1619    0.004    0.000    0.064    0.000 dtypes.py:514(_dtype_and_weaktype)
      8/0    0.004    0.000    0.000          _stablehlo_ops_gen.py:3287(multiply)
   581/13    0.004    0.000    0.917    0.071 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    499/0    0.004    0.000    0.000          lax.py:2623(_mul_transpose)
     4109    0.004    0.000    0.011    0.000 linear_util.py:238(transformation)
     5402    0.004    0.000    0.005    0.000 sharding_impls.py:896(is_unspecified)
     3173    0.004    0.000    0.004    0.000 xla_metadata.py:30(current_xla_metadata)
      642    0.004    0.000    0.005    0.000 api_util.py:183(_validate_argnames)
      501    0.004    0.000    0.368    0.001 util.py:268(promote_dtypes_numeric)
    14914    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
       54    0.004    0.000    0.006    0.000 _stablehlo_ops_gen.py:708(__init__)
     1590    0.003    0.000    0.042    0.000 util.py:325(<genexpr>)
      911    0.003    0.000    0.042    0.000 abstract_arrays.py:64(_make_concrete_python_scalar)
     1008    0.003    0.000    0.267    0.000 partial_eval.py:687(trace_to_subjaxpr_nounits)
    499/0    0.003    0.000    0.000          lax.py:2493(_integer_pow_jvp)
     1000    0.003    0.000    0.062    0.000 ad.py:285(pure)
     1004    0.003    0.000    0.012    0.000 partial_eval.py:456(_current_truncated_name_stack)
    12762    0.003    0.000    0.003    0.000 core.py:113(effects)
      628    0.003    0.000    0.019    0.000 lax.py:5605(_const)
     1303    0.003    0.000    0.015    0.000 traceback_util.py:153(api_boundary)
       55    0.003    0.000    0.022    0.000 typing.py:2993(__new__)
    998/0    0.003    0.000    0.000          tree_util.py:476(__call__)
8203/8155    0.003    0.000    0.010    0.000 <frozen abc>:121(__subclasscheck__)
       89    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
       46    0.003    0.000    0.045    0.001 dataclasses.py:929(_process_class)
       58    0.003    0.000    2.295    0.040 __init__.py:1(<module>)
     1162    0.003    0.000    0.004    0.000 api_util.py:280(_argnums_partial)
     1888    0.003    0.000    0.007    0.000 core.py:2156(definitely_equal_shape)
      411    0.003    0.000    0.022    0.000 typing.py:1423(__init__)
     4356    0.003    0.000    0.003    0.000 pxla.py:2926(contains_explicit_attributes)
       92    0.003    0.000    0.007    0.000 partial_eval.py:1793(_const_folding_and_forwarding)
     9843    0.003    0.000    0.003    0.000 linear_util.py:156(__init__)
      457    0.003    0.000    0.004    0.000 inspect.py:3010(__init__)
   493/12    0.003    0.000    0.915    0.076 <frozen importlib._bootstrap>:911(_load_unlocked)
    12044    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
     3928    0.003    0.000    0.005    0.000 typing.py:1294(_is_dunder)
      422    0.003    0.000    0.011    0.000 typing.py:260(_collect_type_parameters)
    18116    0.003    0.000    0.003    0.000 typing.py:2366(cast)
     24/0    0.003    0.000    0.000          ensemble_of_forecasters.py:23(forecast)
     1057    0.003    0.000    0.006    0.000 api_util.py:51(_ensure_index_tuple)
     9516    0.003    0.000    0.004    0.000 util.py:257(<genexpr>)
   301/60    0.003    0.000    0.006    0.000 _compiler.py:37(_compile)
       20    0.003    0.000    0.007    0.000 enum.py:1738(convert_class)
     8686    0.003    0.000    0.003    0.000 source_info_util.py:152(__init__)
       44    0.003    0.000    0.004    0.000 _stablehlo_ops_gen.py:1322(__init__)
     9075    0.003    0.000    0.003    0.000 {method 'pop' of 'collections.deque' objects}
      233    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
